"Date(UTC)","OrderNo","Pair","Type","Side","Order Price","Order Amount","Time","Executed","Average Price","Trading total","Status"
"2025-05-30 04:25:09","12280092627","SOLUSDT","Limit","SELL","172.58","1.218SOL","2025-05-30 04:25:09","0SOL","0","0USDT","NEW"
"2025-05-30 04:24:44","12280090879","SOLUSDT","Limit","SELL","173.21","1.203SOL","2025-05-30 04:24:44","0SOL","0","0USDT","NEW"
"2025-05-30 04:24:34","12280090444","SOLUSDT","Limit","SELL","174.21","1.203SOL","2025-05-30 04:24:44","0SOL","0","0USDT","CANCELED"
"2025-05-29 17:41:34","12272888226","SOLUSDT","Limit","BUY","164.13","1.218SOL","2025-05-30 00:54:37","1.218SOL","164.13","199.91034USDT","FILLED"
"2025-05-29 17:41:20","12272886651","SOLUSDT","Limit","BUY","166.21","1.203SOL","2025-05-29 19:14:14","1.203SOL","166.21","199.95063USDT","FILLED"
"2025-05-29 17:40:50","12272881972","SOLUSDT","Limit","SELL","174.32","1.783SOL","2025-05-29 17:40:50","0SOL","0","0USDT","NEW"
"2025-05-29 14:04:54","12270069116","SOLUSDT","Limit","SELL","175.21","1.169SOL","2025-05-29 14:04:54","0SOL","0","0USDT","NEW"
"2025-05-29 14:04:35","12270064811","SOLUSDT","Limit","BUY","171.01","1.169SOL","2025-05-29 14:04:35","1.169SOL","170.93","199.81717USDT","FILLED"
"2025-05-28 15:14:40","12258086861","SOLUSDT","Limit","BUY","168.21","1.783SOL","2025-05-29 16:55:33","1.783SOL","168.21","299.91843USDT","FILLED"
"2025-05-28 15:13:48","12258067934","SOLUSDT","Limit","SELL","175.75","1.772SOL","2025-05-28 15:13:48","0SOL","0","0USDT","NEW"
"2025-05-28 14:43:36","12257439052","SOLUSDT","Limit","SELL","177.31","1.752SOL","2025-05-28 14:43:36","0SOL","0","0USDT","NEW"
"2025-05-28 14:43:13","12257431616","SOLUSDT","Limit","SELL","177.21","1.736SOL","2025-05-28 14:43:13","0SOL","0","0USDT","NEW"
"2025-05-28 14:42:47","12257423257","SOLUSDT","Limit","BUY","169.21","1.772SOL","2025-05-28 15:11:06","1.772SOL","169.21","299.84012USDT","FILLED"
"2025-05-28 14:08:15","12256808019","SOLUSDT","Limit","BUY","171.21","1.752SOL","2025-05-28 14:38:37","1.752SOL","171.21","299.95992USDT","FILLED"
"2025-05-28 14:01:47","12256662477","SOLUSDT","Limit","BUY","172.84","1.736SOL","2025-05-28 14:01:47","1.736SOL","172.84","300.05024USDT","FILLED"
"2025-05-27 02:51:30","12236771804","SOLUSDT","Limit","SELL","178.39","1.719SOL","2025-05-27 13:13:34","1.719SOL","178.39","306.65241USDT","FILLED"
"2025-05-27 02:51:16","12236768538","SOLUSDT","Limit","SELL","178.21","1.739SOL","2025-05-27 13:13:05","1.739SOL","178.21","309.90719USDT","FILLED"
"2025-05-27 02:50:59","12236763227","SOLUSDT","Limit","SELL","177.21","1.738SOL","2025-05-27 12:28:10","1.738SOL","177.21","307.99098USDT","FILLED"
"2025-05-27 02:50:29","12236748934","SOLUSDT","Limit","BUY","172.46","1.738SOL","2025-05-27 02:50:29","1.738SOL","172.46","299.73548USDT","FILLED"
"2025-05-26 03:58:55","12224156596","SOLUSDT","Limit","BUY","173.21","1.732SOL","2025-05-26 06:00:07","0SOL","0","0USDT","CANCELED"
"2025-05-26 03:58:42","12224154889","SOLUSDT","Limit","BUY","171.54","1.748SOL","2025-05-26 06:00:20","0SOL","0","0USDT","CANCELED"
"2025-05-26 03:58:19","12224153184","SOLUSDT","Limit","BUY","172.31","1.78SOL","2025-05-26 06:00:09","0SOL","0","0USDT","CANCELED"
"2025-05-26 03:57:49","12224151832","SOLUSDT","Limit","BUY","170.63","1.802SOL","2025-05-26 06:00:21","0SOL","0","0USDT","CANCELED"
"2025-05-25 03:30:39","12211757440","SOLUSDT","Limit","SELL","177.21","1.76SOL","2025-05-26 00:40:19","1.76SOL","177.21","311.8896USDT","FILLED"
"2025-05-25 03:30:16","12211755396","SOLUSDT","Limit","SELL","179.32","1.739SOL","2025-05-27 02:51:16","0SOL","0","0USDT","CANCELED"
"2025-05-24 04:03:46","12199161103","SOLUSDT","Limit","BUY","164.45","2.85SOL","2025-05-25 11:37:49","0SOL","0","0USDT","CANCELED"
"2025-05-24 04:03:22","12199159930","SOLUSDT","Limit","BUY","166.45","1.802SOL","2025-05-26 03:57:49","0SOL","0","0USDT","CANCELED"
"2025-05-24 04:03:15","12199158968","SOLUSDT","Limit","BUY","168.45","1.78SOL","2025-05-26 03:58:19","0SOL","0","0USDT","CANCELED"
"2025-05-24 04:03:04","12199157323","SOLUSDT","Limit","BUY","170.45","1.76SOL","2025-05-25 02:18:41","1.76SOL","170.45","299.992USDT","FILLED"
"2025-05-24 04:02:50","12199154999","SOLUSDT","Limit","BUY","172.45","1.739SOL","2025-05-25 00:53:01","1.739SOL","172.45","299.89055USDT","FILLED"
"2025-05-24 04:02:30","12199152271","SOLUSDT","Limit","SELL","179.32","1.719SOL","2025-05-27 02:51:30","0SOL","0","0USDT","CANCELED"
"2025-05-24 04:02:17","12199147074","SOLUSDT","Limit","SELL","179.32","1.732SOL","2025-05-27 13:30:42","1.732SOL","179.32","310.58224USDT","FILLED"
"2025-05-24 04:01:49","12199143194","SOLUSDT","Limit","BUY","174.88","1.719SOL","2025-05-24 04:01:49","1.719SOL","174.87","300.60153USDT","FILLED"
"2025-05-23 12:13:21","12182237089","SOLUSDT","Limit","BUY","173.21","1.732SOL","2025-05-24 00:57:22","1.732SOL","173.21","299.99972USDT","FILLED"
"2025-05-23 12:12:39","12182190717","SOLUSDT","Limit","SELL","182.32","2.83SOL","2025-05-23 14:46:40","2.83SOL","182.32","515.9656USDT","FILLED"
"2025-05-23 12:11:53","12182156556","SOLUSDT","Limit","BUY","176.69","2.83SOL","2025-05-23 12:11:53","2.83SOL","176.67530035","499.9911USDT","FILLED"
"2025-05-23 02:01:26","12171638547","SOLUSDT","Limit","SELL","183.41","1.711SOL","2025-05-23 02:01:31","1.711SOL","183.41","313.81451USDT","FILLED"
"2025-05-23 02:01:11","12171632617","SOLUSDT","Limit","SELL","183.51","1.72SOL","2025-05-23 02:01:39","1.72SOL","183.51","315.6372USDT","FILLED"
"2025-05-22 15:44:03","12164962976","SOLUSDT","Limit","SELL","184.35","1.72SOL","2025-05-23 02:01:11","0SOL","0","0USDT","CANCELED"
